dt_pos,dt_angle,dt,t,v
0, 0, 0.00024, 0.00024, 0
3, 0.00353429, 0.005393, 0.005633, 0.655348
14, 0.0164934, 0.005276, 0.010909, 3.12611
27, 0.0318086, 0.005231, 0.01614, 6.08079
36, 0.0424115, 0.005227, 0.021367, 8.11393
43, 0.0506582, 0.005285, 0.026652, 9.58527
49, 0.0577268, 0.005327, 0.031979, 10.8366
57, 0.0671515, 0.005333, 0.037312, 12.5917
62, 0.073042, 0.005378, 0.04269, 13.5816
65, 0.0765763, 0.005328, 0.048018, 14.3724
73, 0.0860011, 0.005359, 0.053377, 16.048
78, 0.0918916, 0.005323, 0.0587, 17.2631
77, 0.0907135, 0.00539, 0.06409, 16.83
80, 0.0942478, 0.005351, 0.069441, 17.6131
85, 0.100138, 0.005349, 0.07479, 18.7209
83, 0.0977821, 0.005315, 0.080105, 18.3974
87, 0.102494, 0.005349, 0.085454, 19.1614
91, 0.107207, 0.005391, 0.090845, 19.8863
89, 0.104851, 0.005332, 0.096177, 19.6644
91, 0.107207, 0.005314, 0.101491, 20.1744
101, 0.118988, 0.005355, 0.106846, 22.2199
103, 0.121344, 0.005454, 0.1123, 22.2486
97, 0.114275, 0.005334, 0.117634, 21.424
101, 0.118988, 0.005327, 0.122961, 22.3367
100, 0.11781, 0.005349, 0.12831, 22.0246
100, 0.11781, 0.005435, 0.133745, 21.6761
102, 0.120166, 0.005299, 0.139044, 22.6771
103, 0.121344, 0.005301, 0.144345, 22.8908
105, 0.1237, 0.005323, 0.149668, 23.2388
104, 0.122522, 0.005319, 0.154987, 23.0348
107, 0.126056, 0.00532, 0.160307, 23.6948
107, 0.126056, 0.005373, 0.16568, 23.4611
104, 0.122522, 0.005318, 0.170998, 23.0391
109, 0.128413, 0.00533, 0.176328, 24.0924
105, 0.1237, 0.005316, 0.181644, 23.2694
110, 0.129591, 0.005344, 0.186988, 24.2498
112, 0.131947, 0.00536, 0.192348, 24.6169
106, 0.124878, 0.005336, 0.197684, 23.403
110, 0.129591, 0.005323, 0.203007, 24.3454
109, 0.128413, 0.005339, 0.208346, 24.0518
104, 0.122522, 0.005306, 0.213652, 23.0912
111, 0.130769, 0.005333, 0.218985, 24.5206
116, 0.13666, 0.005363, 0.224348, 25.4819
113, 0.133125, 0.005355, 0.229703, 24.8599
112, 0.131947, 0.005337, 0.23504, 24.7231
114, 0.134303, 0.005324, 0.240364, 25.226
113, 0.133125, 0.005384, 0.245748, 24.726
110, 0.129591, 0.005371, 0.251119, 24.1278
112, 0.131947, 0.005368, 0.256487, 24.5803
110, 0.129591, 0.005336, 0.261823, 24.2862
109, 0.128412, 0.005384, 0.267207, 23.8507
115, 0.135481, 0.005346, 0.272553, 25.3426
122, 0.143728, 0.005358, 0.277911, 26.8249
111, 0.130769, 0.005316, 0.283227, 24.5991
105, 0.1237, 0.005323, 0.28855, 23.2388
113, 0.133125, 0.005347, 0.293897, 24.8972
117, 0.137837, 0.005343, 0.29924, 25.7978
115, 0.135481, 0.005303, 0.304543, 25.548
110, 0.129591, 0.00534, 0.309883, 24.268
114, 0.134303, 0.005332, 0.315215, 25.1881
114, 0.134303, 0.005315, 0.32053, 25.2687
109, 0.128412, 0.005321, 0.325851, 24.1331
109, 0.128413, 0.005359, 0.33121, 23.9621
114, 0.134303, 0.005333, 0.336543, 25.1834
119, 0.140193, 0.005332, 0.341875, 26.2928
114, 0.134303, 0.005394, 0.347269, 24.8986
106, 0.124878, 0.005315, 0.352584, 23.4955
110, 0.129591, 0.005312, 0.357896, 24.3958
116, 0.13666, 0.005341, 0.363237, 25.5869
116, 0.136659, 0.005342, 0.368579, 25.582
113, 0.133125, 0.005389, 0.373968, 24.7031
117, 0.137837, 0.005329, 0.379297, 25.8655
115, 0.135481, 0.005311, 0.384608, 25.5095
107, 0.126057, 0.005314, 0.389922, 23.7216
109, 0.128413, 0.005294, 0.395216, 24.2564
113, 0.133124, 0.005328, 0.400544, 24.9858
116, 0.13666, 0.005365, 0.405909, 25.4724
109, 0.128412, 0.005304, 0.411213, 24.2105
110, 0.129591, 0.005295, 0.416508, 24.4742
116, 0.13666, 0.005312, 0.42182, 25.7266
117, 0.137837, 0.005341, 0.427161, 25.8074
114, 0.134303, 0.005382, 0.432543, 24.9541
116, 0.136659, 0.005518, 0.438061, 24.766
109, 0.128413, 0.005347, 0.443408, 24.0159
109, 0.128412, 0.005356, 0.448764, 23.9754
120, 0.141372, 0.005361, 0.454125, 26.3704
116, 0.136659, 0.005315, 0.45944, 25.7119
